unique_step_id,battery_id,step_number,working_ion,battery_formula,formula_charge,formula_discharge,charge_material_id,discharge_material_id,charge_cif,discharge_cif,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,stability_charge,max_delta_volume,delta_stability,delta_fracA,total_steps_in_battery,max_voltage_step
mp-776468_Li_Step1,mp-776468_Li,1,Li,Li0-9P8W3O29,P8W3O29,Li9P8W3O29,mp-776468,mp-776995,mp-776468_Li_Step1_CHG_mp-776468.cif,mp-776468_Li_Step1_DIS_mp-776995.cif,1.2583482217414732,3.7605011100506824,142.1117205,212.669895,720.1076567,0.0,0.047619048,-0.009515871220807569,0.10155574085423352,0.03655712,-0.047619048,3,1.474485239
mp-776468_Li_Step2,mp-776468_Li,2,Li,Li0-9P8W3O29,P8W3O29,Li9P8W3O29,mp-776995,mp-1176966,mp-776468_Li_Step2_CHG_mp-776995.cif,mp-776468_Li_Step2_DIS_mp-1176966.cif,0.13799635916949982,4.420694226975371,291.9213623,295.1553701,1048.788434,0.047619048,0.130434783,-0.7934267579373,-0.17478288864166025,-0.004392661,-0.082815735,3,1.474485239
mp-776468_Li_Step3,mp-776468_Li,3,Li,Li0-9P8W3O29,P8W3O29,Li9P8W3O29,mp-1176966,mp-776590,mp-776468_Li_Step3_CHG_mp-1176966.cif,mp-776468_Li_Step3_DIS_mp-776590.cif,-0.5707200885888104,4.121436482300954,217.2367028,161.3213527,577.8438224,0.130434783,0.183673469,-0.6977677330802128,-0.33537597884747605,0.005121,-0.053238687,3,1.474485239
mp-776510_Li_Step1,mp-776510_Li,1,Li,Li3-9Sb3P8O29,Li3Sb3P8O29,Li9Sb3P8O29,mp-776510,mp-776589,mp-776510_Li_Step1_CHG_mp-776510.cif,mp-776510_Li_Step1_DIS_mp-776589.cif,-0.08388856025547343,4.95666920923004,418.7454434,465.7918837,1382.148045,0.069767442,0.183673469,-1.1870830504426118,0.09751228201546915,-0.048619707,-0.113906028,1,0.0
mp-776484_Li_Step1,mp-776484_Li,1,Li,Li6-9Sn3P8O29,Li6Sn3P8O29,Li9Sn3P8O29,mp-776484,mp-779010,mp-776484_Li_Step1_CHG_mp-776484.cif,mp-776484_Li_Step1_DIS_mp-779010.cif,-1.1626210216795014,4.278483595432529,213.0035541,133.7957787,400.6549253,0.130434783,0.183673469,-0.7922233254828389,0.009489908645662248,-0.055134531,-0.053238687,1,0.0
mp-776558_Li_Step1,mp-776558_Li,1,Li,Li0.67-0.83MnBO3,Li2Mn3(BO3)3,Li5Mn6(BO3)6,mp-776581,mp-776558,mp-776558_Li_Step1_CHG_mp-776581.cif,mp-776558_Li_Step1_DIS_mp-776558.cif,0.334446488242864,3.647281283186276,118.8413036,143.9221958,457.6881698,0.117647059,0.142857143,0.21080032816742988,-0.31890152722843845,0.034999276,-0.025210084,1,0.0
mp-776580_Li_Step1,mp-776580_Li,1,Li,Li0.62-0.88MnBO3,Li5Mn8(BO3)8,Li7Mn8(BO3)8,mp-776580,mp-778856,mp-776580_Li_Step1_CHG_mp-776580.cif,mp-776580_Li_Step1_DIS_mp-778856.cif,0.03149519042326509,3.3729330519860334,88.36411854,97.23723182,305.0809634,0.111111111,0.130434783,-0.08755392724741978,-0.25020581804701736,0.017653459,-0.019323671,2,0.12717663
mp-776580_Li_Step2,mp-776580_Li,2,Li,Li0.62-0.88MnBO3,Li5Mn8(BO3)8,Li7Mn8(BO3)8,mp-778856,mp-781628,mp-776580_Li_Step2_CHG_mp-778856.cif,mp-776580_Li_Step2_DIS_mp-781628.cif,-0.0651368887757037,3.365915742586561,89.20177957,92.97727465,296.6286428,0.130434783,0.14893617,-0.4639985918226552,-0.3216159130723219,0.014196363,-0.018501388,2,0.12717663
mp-776991_Li_Step1,mp-776991_Li,1,Li,Li0-1Fe4OF7,Fe4OF7,LiFe4OF7,mp-881173,mp-776991,mp-776991_Li_Step1_CHG_mp-881173.cif,mp-776991_Li_Step1_DIS_mp-776991.cif,-0.4670050922394639,4.271914003635943,277.0336779,197.5949387,774.71683,0.0,0.076923077,-0.04464955877219571,0.2641783527290018,-0.005791644,-0.076923077,1,0.0
mp-776634_Li_Step1,mp-776634_Li,1,Li,Li0.5-0.75MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-849746,mp-776634,mp-776634_Li_Step1_CHG_mp-849746.cif,mp-776634_Li_Step1_DIS_mp-776634.cif,-0.04921823219093362,4.0487871051948705,177.2405783,188.4909653,593.1032094,0.090909091,0.130434783,0.1148093264731755,-0.393589673216737,0.03110636,-0.039525692,1,0.0
mp-776992_Li_Step1,mp-776992_Li,1,Li,Li0-11V6O5F19,V6O5F19,Li11V6O5F19,mp-780467,mp-776992,mp-776992_Li_Step1_CHG_mp-780467.cif,mp-776992_Li_Step1_DIS_mp-776992.cif,0.5482642205895536,5.150478198990963,496.33276,708.8086831,2051.173889,0.0,0.142857143,-0.7119686955332774,-0.06988351683087418,-0.037065842,-0.142857143,2,0.82608101
mp-776992_Li_Step2,mp-776992_Li,2,Li,Li0-11V6O5F19,V6O5F19,Li11V6O5F19,mp-776992,mp-1178094,mp-776992_Li_Step2_CHG_mp-776992.cif,mp-776992_Li_Step2_DIS_mp-1178094.cif,-0.07941340765434801,5.280160828682966,595.2617172,646.1101039,1968.279103,0.142857143,0.268292683,0.07982137812867891,-0.3969318140921185,-0.013940471,-0.12543554,2,0.82608101
mp-777270_Li_Step1,mp-777270_Li,1,Li,Li0-11V6O5F19,V6O5F19,Li11V6O5F19,mp-849412,mp-780936,mp-777270_Li_Step1_CHG_mp-849412.cif,mp-777270_Li_Step1_DIS_mp-780936.cif,0.5917893179245785,5.150478198990963,490.5754762,718.6335173,2055.482635,0.0,0.142857143,-0.7766799995425878,-0.12086106705317058,-0.029307087,-0.142857143,2,0.909043221
